group_id,num_nodes,num_edges,num_closed_edges,in_degrees,max_in_degree,mean_in_degree,nodes_indegree_gt_one,closed_edge_density,instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
n10,13,14,75,"0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-7.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.038663,0.0492,2
n10,13,14,75,"0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-7.rcp,MULTIFLOW,2.0,0,11.0,11.0,0.0,0.01519,0.0,2
n10,13,14,75,"0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-8.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.038631,0.049145,2
n10,13,14,75,"0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-8.rcp,MULTIFLOW,2.0,0,11.0,11.0,0.0,0.014869,0.0,2
n10,13,14,75,"0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-9.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.039037,0.049899,2
n10,13,14,75,"0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2",2,1.0769230769230769,2,0.9615384615384616,n10o0.95-9.rcp,MULTIFLOW,2.0,0,11.0,11.0,0.0,0.014973,0.0,2
n10,13,16,73,"0, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2",2,1.2307692307692308,4,0.9358974358974359,n10os0.9-1.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,0.075462,0.123603,2
n10,13,16,73,"0, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2",2,1.2307692307692308,4,0.9358974358974359,n10os0.9-1.rcp,MULTIFLOW,3.0,0,10.0,10.0,0.0,0.017042,0.0,2
n10,13,15,73,"0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2",2,1.1538461538461537,3,0.9358974358974359,n10os0.9-10.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,0.040008,0.05063,2
n10,13,15,73,"0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2",2,1.1538461538461537,3,0.9358974358974359,n10os0.9-10.rcp,MULTIFLOW,2.0,0,11.0,11.0,0.0,0.017273,0.0,2
