num_closed_edges,max_in_degree,closed_edge_density,group_id,instance,nodes_indegree_gt_one,mean_in_degree,num_edges,algorithm,num_nodes,algorithm_right,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
2386,5,0.9079147640791476,n70,n70os0.9-7.rcp,64,2.4794520547945207,181,FEASIBILITY,73,MULTIFLOW,24.0,23,49.0,49.0,0.0,124.32028,0.0,2
2386,7,0.9079147640791476,n70,n70os0.9-8.rcp,56,2.506849315068493,183,FEASIBILITY,73,MULTIFLOW,28.0,154352,45.0,45.0,0.0,13451.697581,0.0,2
2386,4,0.9079147640791476,n70,n70os0.9-9.rcp,63,2.6301369863013697,192,FEASIBILITY,73,MULTIFLOW,26.0,1058,47.0,47.0,0.0,519.991083,0.0,2
2507,3,0.9539573820395738,n70,n70os0.95-1.rcp,48,1.8904109589041096,138,FEASIBILITY,73,MULTIFLOW,23.0,1,50.0,50.0,0.0,5.828753,0.0,2
2507,5,0.9539573820395738,n70,n70os0.95-10.rcp,48,1.8904109589041096,138,FEASIBILITY,73,MULTIFLOW,25.0,1,48.0,48.0,0.0,3.311453,0.0,2
2507,3,0.9539573820395738,n70,n70os0.95-2.rcp,44,1.8767123287671232,137,FEASIBILITY,73,MULTIFLOW,24.0,1,49.0,49.0,0.0,4.624711,0.0,2
2507,4,0.9539573820395738,n70,n70os0.95-3.rcp,44,1.904109589041096,139,FEASIBILITY,73,MULTIFLOW,27.0,1,46.0,46.0,0.0,9.200351,0.0,2
2507,4,0.9539573820395738,n70,n70os0.95-4.rcp,43,1.917808219178082,140,FEASIBILITY,73,MULTIFLOW,24.0,9,49.0,49.0,0.0,11.24293,0.0,2
2507,4,0.9539573820395738,n70,n70os0.95-5.rcp,49,1.917808219178082,140,FEASIBILITY,73,MULTIFLOW,25.0,1,48.0,48.0,0.0,7.193769,0.0,2
2507,4,0.9539573820395738,n70,n70os0.95-6.rcp,50,2.041095890410959,149,FEASIBILITY,73,MULTIFLOW,26.0,1,47.0,47.0,0.0,6.092659,0.0,2
2507,5,0.9539573820395738,n70,n70os0.95-7.rcp,47,1.9726027397260273,144,FEASIBILITY,73,MULTIFLOW,25.0,1,48.0,48.0,0.0,18.824243,0.0,2
2507,5,0.9539573820395738,n70,n70os0.95-8.rcp,44,1.8904109589041096,138,FEASIBILITY,73,MULTIFLOW,25.0,149,48.0,48.0,0.0,20.593859,0.0,2
2507,4,0.9539573820395738,n70,n70os0.95-9.rcp,48,1.904109589041096,139,FEASIBILITY,73,MULTIFLOW,24.0,1,49.0,49.0,0.0,6.083503,0.0,2
